iso,Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
PNG,Papua New Guinea,MtCO2e,28.81,29.82,30.86,31.93,32.81,35.86,35.38,49.87,36.17,37.00,38.03,37.79,38.53,38.49,39.64,38.17,38.18,38.12,37.68,37.87,37.87,45.93,46.61,47.80,49.42,52.18,51.82,51.89,52.99,53.02,53.86,53.29
NPL,Nepal,MtCO2e,19.88,20.13,19.85,20.66,21.38,22.47,22.48,22.88,23.51,24.84,25.12,22.74,21.87,23.21,23.23,23.90,23.43,23.51,24.92,26.84,28.13,36.09,37.44,38.13,39.60,38.44,44.88,45.74,47.64,47.70,49.76,51.37
CHL,Chile,MtCO2e,28.85,27.71,29.31,32.00,36.08,39.79,46.25,53.45,54.49,57.41,53.43,32.50,33.23,33.96,39.33,39.97,41.19,49.00,53.79,51.31,56.45,17.71,20.15,23.22,15.98,22.08,49.48,51.40,50.13,56.11,49.37,50.66
MLI,Mali,MtCO2e,17.44,17.38,17.45,17.70,17.98,18.36,18.76,19.59,23.80,24.86,24.16,21.34,21.69,22.30,24.61,25.46,25.78,26.80,28.18,28.52,30.35,31.26,32.11,33.21,34.15,35.57,39.95,41.01,42.46,44.74,47.23,48.49
NER,Niger,MtCO2e,18.64,19.11,19.60,20.25,20.75,21.34,22.11,22.78,23.71,24.30,24.82,21.10,21.87,22.77,23.63,24.53,25.46,26.67,27.88,29.22,29.33,30.36,32.41,34.21,35.91,37.10,38.80,40.23,42.12,44.06,46.11,48.42
SYR,Syria,MtCO2e,71.45,81.23,86.42,90.16,93.27,97.33,99.06,98.93,102.31,101.74,101.12,102.07,105.00,104.32,96.07,105.80,107.79,110.48,111.18,106.54,106.09,100.79,75.09,51.90,45.77,43.80,43.44,45.36,46.64,46.78,46.40,46.64
SLB,Solomon Islands,MtCO2e,4.29,4.31,4.32,4.34,4.36,4.37,4.39,4.40,4.42,4.43,4.45,2.25,2.27,2.28,2.31,2.33,2.35,2.37,2.39,2.41,2.43,-17.06,-17.04,-16.99,-17.02,-17.04,46.21,46.24,46.28,46.30,46.32,46.36
LAO,Laos,MtCO2e,19.63,19.55,19.87,19.88,20.24,20.29,20.39,20.06,21.78,20.46,20.33,20.85,22.11,22.69,27.53,24.57,23.34,29.09,23.89,25.29,29.47,21.79,23.93,25.04,25.29,29.99,38.49,39.66,39.97,40.88,43.91,44.86
DNK,Denmark,MtCO2e,70.68,81.57,75.43,78.06,81.76,78.66,92.18,82.50,78.50,75.74,72.02,73.37,72.70,78.23,72.04,68.34,75.99,71.11,67.54,64.61,64.87,57.46,52.35,53.76,49.57,47.53,51.99,49.71,49.16,45.52,43.10,44.36
CHE,Switzerland,MtCO2e,51.95,54.17,54.10,51.73,50.84,51.76,52.38,50.92,52.48,52.61,51.86,52.62,50.95,52.17,52.66,53.38,53.09,51.17,52.79,51.35,52.92,48.96,50.26,51.29,47.48,46.70,47.18,46.20,44.96,44.74,42.28,44.00
SOM,Somalia,MtCO2e,41.94,39.01,37.05,39.03,40.97,41.63,42.08,42.47,42.31,42.38,42.56,43.10,43.49,43.72,44.02,44.46,43.19,42.09,42.11,42.14,42.35,42.50,42.80,42.91,43.05,43.11,43.14,43.08,43.09,43.35,43.52,43.16
DOM,Dominican Republic,MtCO2e,8.50,9.62,11.09,11.59,13.57,14.07,14.99,16.67,18.61,19.21,19.91,26.02,28.45,26.12,25.41,26.73,28.65,29.85,30.00,29.49,30.85,31.99,32.80,32.57,32.93,35.36,36.20,35.47,37.94,40.84,39.35,42.28
GIN,Guinea,MtCO2e,18.98,19.30,19.63,19.99,20.40,20.81,20.30,20.74,22.20,21.77,22.21,23.13,24.24,24.58,24.54,25.99,26.37,26.70,27.40,27.82,30.10,31.43,32.75,32.89,33.30,33.97,37.64,38.08,37.88,39.72,41.09,41.04
MDG,Madagascar,MtCO2e,53.54,53.57,53.83,54.21,53.97,54.47,55.02,54.41,55.60,55.26,53.96,46.31,43.75,46.36,45.17,49.52,47.98,49.39,48.02,49.20,49.89,37.98,38.54,37.87,38.39,39.28,40.90,40.39,38.90,40.43,40.06,40.43
TUN,Tunisia,MtCO2e,20.98,21.98,23.34,23.52,23.19,23.68,25.04,25.54,26.98,28.49,29.84,30.33,30.53,30.31,31.67,32.39,33.53,35.16,35.65,35.96,38.41,42.10,44.74,43.99,46.48,46.87,37.94,38.27,38.85,38.82,36.96,39.98
GTM,Guatemala,MtCO2e,27.91,28.28,29.48,30.13,30.33,31.36,31.61,31.87,35.54,34.19,36.47,33.10,34.42,36.63,34.99,37.59,36.48,38.29,36.79,38.56,38.24,32.79,33.45,34.76,35.72,38.78,35.81,35.20,36.86,38.12,36.71,39.32
NIC,Nicaragua,MtCO2e,29.12,27.76,28.66,29.33,29.64,29.02,29.03,29.87,30.82,31.38,31.95,36.06,36.49,37.71,37.13,37.69,37.79,37.95,37.84,37.89,38.30,26.77,27.13,27.41,28.35,29.27,38.17,38.05,38.06,38.65,38.58,38.94
SVK,Slovakia,MtCO2e,57.28,48.95,46.46,44.04,41.36,41.94,41.95,41.81,40.66,39.21,36.59,38.23,37.78,38.04,37.35,38.17,37.74,36.78,36.81,33.17,34.70,33.99,31.63,32.29,29.64,30.08,37.47,39.40,38.85,37.01,34.95,37.98
LKA,Sri Lanka,MtCO2e,28.20,28.04,29.81,30.12,30.90,31.02,30.95,28.97,26.48,25.90,25.14,22.76,23.61,24.80,24.92,26.86,25.31,26.24,26.50,25.65,26.93,27.69,29.57,26.68,29.33,31.80,36.55,35.65,35.09,37.63,36.91,37.35
URY,Uruguay,MtCO2e,15.45,17.06,18.67,19.20,19.09,19.29,20.62,20.33,19.92,20.98,19.11,21.97,22.28,23.17,25.08,25.25,27.38,26.34,28.92,28.47,26.07,30.71,31.57,30.57,30.07,29.96,35.37,34.61,34.44,34.85,34.25,37.26
SEN,Senegal,MtCO2e,17.80,18.09,18.53,18.78,19.10,19.38,20.93,21.41,22.62,24.81,24.78,23.63,23.31,22.60,24.65,25.36,25.91,26.05,27.01,27.50,28.53,27.63,27.20,28.48,29.09,29.78,32.01,32.36,32.87,33.94,34.92,36.25
SWE,Sweden,MtCO2e,74.25,74.85,77.43,77.39,79.22,78.83,84.43,78.24,79.08,77.84,73.94,59.23,60.62,61.69,60.37,56.74,55.26,53.32,52.18,48.40,54.18,39.18,36.41,34.63,33.46,33.41,38.52,38.23,36.09,35.38,34.05,36.08
JOR,Jordan,MtCO2e,18.65,19.10,21.85,22.58,23.69,23.33,22.56,22.08,21.29,20.35,20.92,21.02,21.80,22.39,24.01,25.60,26.50,27.89,27.30,28.19,27.77,28.44,32.18,32.46,34.53,35.20,35.59,37.36,36.57,35.62,33.96,35.27
AFG,Afghanistan,MtCO2e,9.24,9.51,9.16,9.29,9.34,9.79,10.84,11.83,12.67,13.59,11.82,12.73,15.38,16.07,15.69,16.76,17.39,18.34,21.47,24.44,28.71,32.20,30.68,30.18,30.92,31.37,31.02,31.90,33.25,33.54,34.50,35.18
NOR,Norway,MtCO2e,35.03,32.41,32.61,35.04,36.96,36.87,37.00,38.73,40.00,42.02,36.46,28.93,28.46,30.51,30.83,29.82,30.15,30.48,30.98,30.05,32.24,35.01,34.67,35.34,35.35,36.17,35.65,35.36,34.81,33.58,32.19,32.48
CUB,Cuba,MtCO2e,43.96,34.78,28.60,25.15,26.59,27.73,30.41,32.64,32.18,32.61,32.97,32.54,31.37,30.48,29.86,29.97,30.92,31.86,31.17,32.03,33.20,30.70,31.75,32.11,29.98,31.98,39.64,38.35,38.79,36.41,32.78,32.12
HND,Honduras,MtCO2e,17.29,17.40,17.71,17.51,18.20,18.97,18.47,18.88,19.43,18.28,18.78,18.82,19.27,22.30,21.56,22.54,22.80,23.54,23.78,23.76,23.69,26.65,26.57,26.91,27.46,28.03,27.98,26.63,26.92,27.99,28.11,27.84
COG,Republic of Congo,MtCO2e,18.55,18.55,18.85,18.41,17.43,18.21,18.33,19.04,20.38,20.96,21.14,20.52,18.38,19.91,20.55,22.47,24.00,21.68,22.21,23.38,25.38,25.44,23.37,24.30,23.74,24.57,25.36,25.67,28.35,29.51,28.90,27.72
YEM,Yemen,MtCO2e,21.08,22.89,23.30,25.12,31.82,33.18,33.83,35.83,37.26,40.30,43.96,45.41,45.49,48.73,48.82,50.89,51.14,51.00,50.51,52.96,52.78,46.57,42.33,50.73,48.37,27.50,22.56,23.59,26.07,27.76,26.64,26.61
NAM,Namibia,MtCO2e,false,19.82,19.77,19.74,19.94,20.05,19.92,19.76,20.47,20.51,21.32,21.08,19.92,20.52,21.04,21.84,23.19,22.44,20.93,24.00,23.34,28.60,30.19,22.94,22.17,22.27,22.87,23.01,22.30,21.40,24.40,24.85
BEN,Benin,MtCO2e,19.55,19.66,19.74,19.79,20.05,19.84,21.47,21.83,22.86,22.66,22.80,17.19,18.22,18.22,18.33,19.48,19.72,20.44,20.12,20.77,21.16,21.29,21.24,21.89,22.41,22.84,24.53,24.70,25.97,26.35,26.94,24.79
LTU,Lithuania,MtCO2e,51.81,53.19,38.62,32.72,30.68,29.11,29.89,29.66,30.55,27.79,26.09,26.02,26.37,26.54,27.47,28.60,28.73,29.75,29.18,25.59,26.39,19.76,19.69,18.79,18.29,18.55,24.01,23.92,24.00,24.12,24.11,24.46
LBN,Lebanon,MtCO2e,7.29,8.79,8.85,12.26,13.20,15.50,16.54,18.76,19.12,20.10,18.93,20.25,20.22,20.91,21.47,20.89,19.95,18.91,22.72,26.15,25.25,25.85,28.49,28.47,30.66,32.81,33.91,35.70,34.21,34.05,29.15,24.37
TTO,Trinidad and Tobago,MtCO2e,21.78,21.66,21.52,16.87,13.10,12.65,13.76,14.16,14.53,15.00,15.88,17.63,19.39,23.30,24.32,26.53,30.13,30.77,30.41,29.54,32.21,33.18,32.70,33.65,33.61,32.67,29.04,29.25,29.09,29.63,26.54,24.33
BIH,Bosnia and Herzegovina,MtCO2e,33.66,30.82,23.56,20.10,9.71,9.62,10.66,15.56,18.38,18.34,22.12,18.78,18.94,19.47,20.53,21.29,23.17,24.28,26.40,26.46,26.49,25.56,23.77,23.54,21.04,21.26,25.82,26.10,26.10,24.37,24.34,24.01
PAN,Panama,MtCO2e,13.61,14.10,14.77,15.03,15.32,15.52,15.51,15.45,16.53,15.67,15.77,15.55,14.82,15.13,15.11,16.76,17.29,17.29,17.41,19.00,19.62,20.72,21.42,21.39,21.83,21.73,21.94,21.51,21.56,24.87,21.53,23.04
MWI,Malawi,MtCO2e,11.61,11.79,11.79,11.94,11.55,11.75,11.77,11.69,11.94,11.96,11.95,12.05,12.39,12.89,12.74,13.06,13.00,13.56,14.14,13.96,15.16,15.12,15.65,15.75,16.33,16.72,17.17,17.27,19.12,20.05,21.79,21.99
GAB,Gabon,MtCO2e,16.13,17.28,17.31,17.49,18.68,19.93,20.91,20.82,21.84,20.72,20.01,19.45,18.74,20.14,19.83,19.39,17.96,17.24,17.90,17.70,18.53,21.78,21.37,21.47,21.78,22.20,22.54,20.90,20.19,21.13,20.84,20.25
GUY,Guyana,MtCO2e,7.76,7.93,7.92,8.72,9.02,9.72,9.98,10.27,10.41,10.40,10.07,10.82,10.72,11.01,11.29,10.93,10.74,11.05,11.20,11.23,11.49,19.20,19.44,19.60,19.81,19.96,17.38,17.48,17.62,17.95,18.81,18.61
GEO,Georgia,MtCO2e,31.33,21.78,14.39,8.86,1.70,-1.36,-2.88,-3.70,-4.18,-4.43,-4.02,8.27,7.72,8.25,8.32,8.87,9.23,10.00,9.10,9.86,9.59,14.28,15.14,16.16,16.81,17.16,17.54,17.49,17.14,17.89,17.68,18.16
BGR,Bulgaria,MtCO2e,76.47,59.48,53.66,52.22,48.27,49.49,50.06,46.98,43.39,36.58,36.03,36.59,33.91,38.77,37.53,37.52,37.47,41.67,39.26,31.77,33.42,50.75,45.00,39.85,42.43,45.13,20.58,22.72,19.49,17.66,12.57,18.15
TJK,Tajikistan,MtCO2e,17.85,16.85,13.98,11.12,8.61,8.00,7.35,7.59,7.51,7.02,6.65,6.29,6.32,6.47,7.02,7.09,7.58,8.29,8.67,8.35,8.44,8.66,9.46,9.88,11.42,12.02,13.10,14.49,15.89,17.29,17.83,17.82
HRV,Croatia,MtCO2e,27.90,21.33,22.28,22.98,22.99,24.28,24.23,25.06,24.95,25.32,24.31,25.19,26.22,27.34,27.06,27.02,27.73,29.25,28.44,25.88,25.32,24.39,22.39,21.30,20.50,21.11,18.33,18.98,17.89,17.98,17.07,17.74
GHA,Ghana,MtCO2e,21.39,21.44,21.86,22.00,22.30,22.67,23.75,24.98,28.60,27.27,27.59,61.61,62.79,63.37,62.49,64.73,66.01,66.26,66.00,67.24,68.89,54.62,56.45,58.72,58.28,59.96,5.99,7.99,9.68,11.63,15.38,17.20
EST,Estonia,MtCO2e,40.93,37.83,28.53,23.21,23.19,21.13,21.94,21.53,20.23,19.64,19.21,19.49,19.08,20.97,21.20,21.07,20.42,24.13,21.86,18.42,22.97,18.11,16.63,18.56,17.26,14.13,23.59,24.50,23.48,17.81,14.79,16.02
SVN,Slovenia,MtCO2e,7.99,6.84,6.62,7.36,7.42,8.24,9.04,9.51,9.25,8.60,8.40,7.20,7.28,7.25,7.45,7.70,8.03,8.00,8.98,7.00,7.30,16.14,15.52,14.89,13.39,13.49,17.28,17.46,17.33,16.88,15.65,15.92
LBR,Liberia,MtCO2e,14.36,14.25,14.28,14.27,14.26,14.27,14.17,14.22,14.30,14.20,14.24,14.23,14.26,14.41,14.44,14.50,14.83,14.60,14.60,15.60,14.87,15.05,15.16,15.16,15.43,16.22,15.04,15.06,14.97,15.66,15.25,15.26
KGZ,Kyrgyzstan,MtCO2e,31.40,28.97,21.52,16.72,11.58,8.89,9.79,9.67,9.90,8.52,8.44,8.87,9.84,10.47,10.62,10.31,10.43,11.64,12.73,12.38,12.09,12.79,15.41,14.90,15.53,15.87,12.90,12.72,14.85,13.66,12.88,14.15
MDA,Moldova,MtCO2e,37.91,31.74,26.89,23.46,20.37,18.33,16.54,14.87,13.40,12.04,11.19,10.72,10.86,11.46,11.44,11.75,11.41,11.63,11.50,10.82,11.73,12.45,12.19,11.32,11.95,12.18,12.94,12.93,13.47,13.63,13.19,14.10
SUR,Suriname,MtCO2e,5.90,6.26,6.36,6.38,6.42,6.51,6.62,6.60,6.66,6.69,6.00,6.40,5.84,6.06,6.39,6.61,6.54,6.45,6.63,6.75,7.10,11.64,12.11,11.97,12.37,12.46,13.86,13.35,12.99,13.58,13.55,13.52
SLV,El Salvador,MtCO2e,7.94,8.73,9.11,9.58,10.20,10.46,10.41,11.27,11.39,11.60,11.20,11.84,12.08,12.65,13.01,13.40,13.88,14.45,13.89,13.52,13.27,13.18,13.34,12.60,12.86,13.33,13.26,12.39,12.80,13.66,12.35,13.39
GNQ,Equatorial Guinea,MtCO2e,4.04,4.20,5.43,5.57,5.70,5.85,6.16,7.52,8.58,10.24,9.36,11.54,11.15,12.19,15.89,16.34,16.26,16.88,16.10,14.27,14.62,13.88,13.91,13.74,15.50,14.67,14.11,13.22,12.87,12.66,12.50,12.26
BRN,Brunei,MtCO2e,5.98,6.19,6.49,6.92,7.23,7.61,7.75,8.36,11.73,7.44,7.86,7.81,7.78,8.93,8.38,8.24,10.96,10.46,11.35,11.12,10.41,9.75,9.70,9.49,9.45,8.64,9.37,9.76,10.05,9.87,12.06,12.04
LVA,Latvia,MtCO2e,15.09,13.17,10.60,7.43,4.46,2.89,2.89,2.34,1.95,1.41,0.88,0.20,0.25,0.55,0.58,0.78,1.35,1.81,1.52,0.75,1.94,12.46,12.28,12.20,12.10,12.15,11.85,11.78,12.33,12.17,11.53,11.68
ARM,Armenia,MtCO2e,24.52,25.07,14.81,8.65,6.13,6.70,5.61,6.31,6.27,5.74,6.12,6.22,5.90,6.32,6.71,7.44,7.84,8.49,9.01,7.87,7.69,8.12,9.12,9.06,9.05,9.08,9.45,9.29,9.48,9.91,10.46,11.08
HTI,Haiti,MtCO2e,5.41,5.63,6.04,5.68,5.17,5.96,6.24,6.67,6.81,6.94,7.45,7.62,7.89,7.93,7.79,7.89,7.97,8.37,8.43,8.46,9.01,9.91,9.70,9.99,10.43,10.75,10.99,11.02,10.91,11.09,10.95,10.99
SLE,Sierra Leone,MtCO2e,6.50,6.48,6.47,6.54,6.51,6.37,6.06,6.07,6.16,5.90,5.89,6.08,6.50,7.09,7.36,7.48,8.60,7.82,7.62,7.90,7.95,8.42,9.28,9.44,9.82,9.91,9.83,9.78,10.27,9.33,9.47,10.23
MKD,Macedonia,MtCO2e,13.97,13.17,12.44,12.45,11.99,11.60,13.17,12.01,12.76,11.83,11.50,11.51,10.91,11.68,11.48,11.77,11.77,12.27,12.06,11.37,11.25,12.14,11.71,10.79,10.42,10.15,10.03,10.53,10.01,10.90,9.75,9.72
TGO,Togo,MtCO2e,6.23,6.06,5.76,5.63,5.90,5.87,6.49,6.25,7.21,7.62,7.12,4.97,5.39,6.04,5.81,6.68,6.15,5.84,6.16,7.66,7.46,7.96,7.52,7.45,6.99,7.76,8.18,7.99,8.38,8.54,9.24,9.33
MRT,Mauritania,MtCO2e,6.16,6.36,6.17,6.34,6.21,6.23,6.72,7.01,7.37,7.83,8.23,8.31,8.29,8.42,8.34,8.45,8.82,8.81,8.15,8.73,9.24,9.23,9.47,9.66,9.82,10.06,8.61,8.62,8.71,8.98,8.98,9.22
LUX,Luxembourg,MtCO2e,11.55,12.04,11.73,11.94,11.09,8.95,9.03,8.53,7.86,8.25,8.89,9.49,10.28,10.70,12.15,12.39,12.18,11.60,11.52,10.93,11.52,11.66,11.43,10.92,10.40,9.89,9.56,9.74,10.03,10.21,8.54,8.90
ALB,Albania,MtCO2e,11.37,9.02,6.97,6.94,7.75,7.59,7.32,6.59,6.82,8.03,8.42,7.00,7.64,8.05,8.12,7.89,7.80,7.88,7.61,7.68,8.12,8.78,8.22,8.45,8.89,8.56,8.95,9.68,9.43,8.95,8.39,8.59
JAM,Jamaica,MtCO2e,9.35,9.34,10.15,10.35,10.39,10.73,11.07,11.22,11.77,12.09,12.20,9.34,9.52,9.94,9.85,9.81,11.02,10.95,8.54,6.80,6.40,9.14,8.62,9.08,8.89,8.79,9.23,8.93,10.35,10.15,7.55,8.16
RWA,Rwanda,MtCO2e,5.22,5.20,5.13,5.05,4.88,5.07,5.27,5.64,5.64,5.86,5.70,5.63,5.85,5.95,6.06,6.12,6.40,6.54,6.75,6.88,7.16,6.15,6.31,6.50,6.49,7.17,6.99,7.18,7.37,7.67,7.64,8.04
CYP,Cyprus,MtCO2e,5.37,5.90,6.32,6.60,6.85,6.74,7.13,7.21,7.54,7.82,8.08,7.81,8.04,8.71,8.65,8.76,8.90,9.23,9.45,9.27,8.94,8.64,8.13,7.42,7.82,7.90,8.35,8.49,8.31,8.29,7.88,7.99
CRI,Costa Rica,MtCO2e,10.93,11.23,12.37,12.46,12.87,12.46,12.43,12.48,13.21,13.00,12.85,10.26,10.26,10.63,10.64,11.18,11.51,12.93,13.06,12.63,12.76,6.63,6.63,7.14,7.09,7.04,7.85,8.15,8.45,8.43,7.09,7.69
BDI,Burundi,MtCO2e,6.49,6.55,6.54,6.52,6.42,6.58,6.62,6.69,6.73,6.83,6.88,4.75,4.75,4.73,4.78,4.85,5.01,5.08,5.21,5.36,5.70,0.97,1.04,1.43,1.42,1.43,6.76,7.38,7.59,7.25,7.35,7.61
BLZ,Belize,MtCO2e,13.11,13.33,13.42,13.54,13.66,12.56,11.41,10.41,9.42,8.28,7.30,4.03,4.12,4.42,3.96,4.13,4.13,4.36,4.29,4.42,4.50,7.18,6.62,6.85,6.71,6.95,6.69,6.74,6.68,6.89,6.90,6.80
ERI,Eritrea,MtCO2e,4.11,4.11,4.82,4.42,4.60,4.72,5.28,5.77,5.72,5.90,6.01,5.73,5.68,5.82,5.86,5.85,5.65,5.95,5.89,5.94,5.87,6.10,6.17,6.19,6.23,6.25,6.39,6.43,6.55,6.59,6.65,6.71
MUS,Mauritius,MtCO2e,2.28,2.38,2.47,2.63,2.70,2.76,2.93,3.04,3.32,3.84,4.29,4.50,4.52,4.71,4.74,4.92,5.35,5.49,5.60,5.60,5.87,5.84,6.00,6.13,6.33,6.38,6.50,6.70,6.72,6.82,6.41,6.71
TLS,Timor-Leste,MtCO2e,0.92,0.99,0.99,1.02,1.10,1.12,1.14,1.15,1.16,1.05,1.12,2.18,3.25,4.09,4.87,5.85,6.21,6.50,6.88,7.20,7.50,7.39,7.38,7.26,7.25,7.18,7.00,6.82,6.56,6.54,6.18,6.21
LSO,Lesotho,MtCO2e,2.98,3.03,3.24,3.25,3.25,3.22,3.23,3.35,3.24,3.72,3.66,3.67,3.49,3.57,3.54,3.73,3.70,3.79,3.76,3.88,3.92,4.69,4.74,3.92,4.05,3.84,3.80,4.24,3.97,3.86,3.38,4.63
GNB,Guinea-Bissau,MtCO2e,3.19,3.20,3.24,3.27,3.29,3.32,2.97,3.01,3.23,3.58,3.28,3.59,3.75,3.76,3.65,3.54,3.92,3.94,3.77,3.78,3.95,3.86,4.43,4.13,4.22,4.44,4.09,4.01,4.10,4.18,4.24,4.08
BRB,Barbados,MtCO2e,3.47,3.51,3.41,3.37,3.56,3.62,3.71,3.94,3.97,4.07,4.19,4.07,4.03,4.07,4.11,4.14,4.16,4.19,4.50,4.41,4.27,4.37,4.26,4.29,4.15,4.14,4.16,4.15,4.18,4.22,3.81,3.93
MNE,Montenegro,MtCO2e,4.18,3.57,3.56,3.39,3.35,3.49,3.75,3.89,3.98,3.41,3.67,0.03,0.14,0.27,0.27,0.07,0.15,-0.07,0.37,-0.71,0.01,4.03,3.80,3.65,3.55,3.66,3.44,3.58,3.78,3.85,3.78,3.82
ISL,Iceland,MtCO2e,4.06,3.94,3.74,3.70,3.78,3.71,3.97,3.94,4.08,4.05,4.09,3.93,3.99,3.96,4.02,3.96,4.44,4.45,4.35,4.03,3.90,3.66,3.64,3.79,3.78,3.90,3.45,3.51,3.53,3.47,3.27,3.38
GMB,Gambia,MtCO2e,5.00,5.15,5.26,5.38,4.92,4.44,4.15,3.83,3.56,3.49,3.13,2.59,2.38,2.27,2.18,2.03,2.12,2.17,2.32,2.68,2.72,2.42,2.50,2.57,2.71,2.93,2.82,2.81,2.83,3.00,3.03,3.05
SWZ,Eswatini,MtCO2e,2.79,2.80,2.67,2.38,3.03,3.02,2.81,2.79,2.87,2.88,2.67,2.55,2.58,2.58,2.57,2.58,2.52,2.78,2.70,2.64,2.54,2.51,2.51,2.69,2.71,2.72,2.81,2.81,2.82,2.99,2.91,3.04
BHS,Bahamas,MtCO2e,2.23,2.31,2.18,2.05,2.08,2.16,2.19,1.99,2.40,2.44,2.46,2.27,2.32,2.35,2.41,2.24,2.18,2.20,2.32,2.55,2.61,2.55,2.43,2.49,2.53,2.65,2.65,3.01,2.84,2.88,2.62,2.73
GRD,Grenada,MtCO2e,1.84,1.86,1.88,1.89,1.92,1.94,1.98,2.00,2.03,2.05,2.06,2.08,2.10,2.12,2.12,2.15,2.16,2.19,2.21,2.22,2.24,2.24,2.27,2.32,2.26,2.29,2.31,2.33,2.37,2.41,2.37,2.39
MDV,Maldives,MtCO2e,0.20,0.21,0.28,0.26,0.26,0.32,0.35,0.41,0.39,0.51,0.55,0.58,0.71,0.63,0.80,0.74,0.90,0.94,1.01,1.07,1.13,1.20,1.36,1.37,1.62,1.60,1.81,1.94,2.22,2.50,2.23,2.34
MLT,Malta,MtCO2e,2.53,2.43,2.41,3.05,2.76,2.63,2.57,2.73,2.64,2.68,2.41,2.79,2.62,2.92,2.93,2.98,3.06,3.15,3.09,2.90,3.01,2.99,3.16,2.83,2.84,2.16,1.87,2.02,2.04,2.14,2.08,2.07
DJI,Djibouti,MtCO2e,0.94,0.95,0.96,0.98,0.99,1.05,1.08,1.13,1.20,1.23,1.22,1.23,1.26,1.28,1.27,1.31,1.31,1.35,1.36,1.34,1.42,1.38,1.40,1.48,1.33,1.38,1.34,1.36,1.40,1.43,1.36,1.42
ATG,Antigua and Barbuda,MtCO2e,0.39,0.41,0.42,0.44,0.46,0.47,0.50,0.54,0.57,0.61,0.64,0.68,0.72,0.77,0.81,0.86,0.93,0.99,1.03,1.08,1.09,1.10,1.12,1.13,1.15,1.18,1.22,1.25,1.29,1.34,1.35,1.42
SYC,Seychelles,MtCO2e,0.22,0.24,0.24,0.26,0.28,0.28,0.32,0.36,0.38,0.40,0.38,0.41,0.44,0.44,0.48,0.48,0.49,0.51,0.52,0.56,0.56,0.53,0.55,0.54,0.59,0.64,0.71,0.72,0.76,0.76,0.77,0.78
COM,Comoros,MtCO2e,0.32,0.32,0.33,0.34,0.34,0.35,0.35,0.36,0.37,0.38,0.37,0.38,0.39,0.41,0.42,0.46,0.46,0.38,0.41,0.44,0.48,0.48,0.49,0.53,0.52,0.54,0.56,0.63,0.65,0.68,0.75,0.76
LCA,Saint Lucia,MtCO2e,0.77,0.79,0.83,0.87,0.90,0.83,0.77,0.68,0.64,0.57,0.48,0.52,0.51,0.54,0.56,0.56,0.58,0.60,0.61,0.61,0.68,0.65,0.67,0.67,0.68,0.68,0.69,0.72,0.72,0.72,0.70,0.72
WSM,Samoa,MtCO2e,0.44,0.45,0.45,0.47,0.49,0.50,0.52,0.52,0.54,0.54,0.54,0.57,0.58,0.58,0.59,0.60,0.59,0.60,0.58,0.59,0.63,0.65,0.65,0.65,0.67,0.71,0.70,0.70,0.68,0.69,0.68,0.70
VUT,Vanuatu,MtCO2e,0.48,0.50,0.52,0.55,0.55,0.56,0.58,0.59,0.58,0.59,0.57,0.55,0.55,0.57,0.55,0.56,0.57,0.69,0.70,0.69,0.71,0.73,0.73,0.73,0.78,0.71,0.64,0.61,0.69,0.65,0.68,0.69
CPV,Cape Verde,MtCO2e,-0.20,-0.20,-0.16,-0.17,-0.19,-0.14,-0.15,-0.13,-0.10,-0.05,-0.05,0.45,0.48,0.50,0.53,0.54,0.62,0.56,0.56,0.60,0.64,0.66,0.63,0.61,0.60,0.61,0.61,0.61,0.65,0.67,0.63,0.65
AND,Andorra,MtCO2e,0.43,0.43,0.43,0.44,0.44,0.46,0.49,0.51,0.54,0.57,0.59,0.59,0.60,0.61,0.64,0.66,0.64,0.64,0.64,0.62,0.63,0.60,0.60,0.59,0.57,0.58,0.59,0.59,0.62,0.61,0.50,0.49
BTN,Bhutan,MtCO2e,-5.72,-5.76,-5.78,-5.82,-5.79,-5.71,-5.68,-5.60,-5.60,-5.56,-5.62,-5.69,-5.68,-5.71,-5.77,-5.63,-5.60,-5.52,-5.54,-5.61,-5.48,0.05,0.19,0.21,0.35,0.39,0.58,0.67,0.81,0.79,0.25,0.41
STP,Sao Tome and Principe,MtCO2e,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.09,0.10,0.11,0.11,0.11,0.11,0.12,0.13,0.14,0.34,0.36,0.36,0.38,0.39,0.40,0.41,0.40,0.40,0.40,0.40
TON,Tonga,MtCO2e,0.25,0.26,0.25,0.26,0.26,0.26,0.24,0.24,0.24,0.25,0.23,0.23,0.23,0.26,0.25,0.25,0.27,0.26,0.26,0.28,0.26,0.25,0.25,0.26,0.26,0.25,0.27,0.28,0.28,0.31,0.34,0.35
VCT,Saint Vincent and the Grenadines,MtCO2e,0.11,0.12,0.12,0.15,0.16,0.17,0.17,0.18,0.21,0.21,0.20,0.28,0.28,0.29,0.31,0.31,0.31,0.33,0.31,0.37,0.32,0.31,0.32,0.31,0.35,0.33,0.34,0.31,0.33,0.32,0.34,0.35
